,timestamp,open_ETH_ftx_1H,high_ETH_ftx_1H,low_ETH_ftx_1H,close_ETH_ftx_1H,volume_ETH_ftx_1H,price
3741,2021-05-01 04:00:00,2843.0,2847.7,2836.4,2846.2,22473.5703,2846.2
3742,2021-05-01 05:00:00,2846.2,2872.0,2841.4,2852.4,23347.6005,2852.4
3743,2021-05-01 06:00:00,2852.4,2868.8,2845.3,2857.8,22469.8674,2857.8
3744,2021-05-01 07:00:00,2857.8,2866.3,2846.8,2861.2,83291.593,2861.2
3745,2021-05-01 08:00:00,2861.2,2869.5,2833.1,2833.3,489.1692,2833.3
3746,2021-05-01 09:00:00,2833.3,2844.2,2810.0,2836.7,112203.0675,2836.7
3747,2021-05-01 10:00:00,2836.7,2847.5,2828.1,2845.7,54510.5744,2845.7
3748,2021-05-01 11:00:00,2845.7,2862.3,2845.7,2860.2,19649.8993,2860.2
3749,2021-05-01 12:00:00,2860.2,2885.1,2858.4,2874.4,211555.6063,2874.4
3750,2021-05-01 13:00:00,2874.4,2880.8,2858.5,2875.6,36259.2542,2875.6
3751,2021-05-01 14:00:00,2875.6,2879.0,2854.0,2857.8,57481.4685,2857.8
3752,2021-05-01 15:00:00,2858.5,2868.0,2842.8,2868.0,46088.6837,2868.0
3753,2021-05-01 16:00:00,2868.0,2903.5,2868.0,2898.8,49029.9181,2898.8
3754,2021-05-01 17:00:00,2898.8,2939.4,2898.8,2936.8,2569137.995,2936.8
3755,2021-05-01 18:00:00,2936.8,2945.4,2919.1,2943.5,216000.0376,2943.5
3756,2021-05-01 19:00:00,2943.5,2943.5,2917.0,2926.6,64624.4295,2926.6
3757,2021-05-01 20:00:00,2926.6,2955.1,2925.5,2949.8,51438.2183,2949.8
3758,2021-05-01 21:00:00,2949.8,2950.1,2920.1,2924.3,106990.3751,2924.3
3759,2021-05-01 22:00:00,2924.3,2947.1,2912.2,2940.7,98883.1544,2940.7
3760,2021-05-01 23:00:00,2940.7,2955.0,2934.4,2949.0,77281.1963,2949.0
3761,2021-05-02 00:00:00,2949.0,2955.0,2930.0,2937.5,70552.7466,2937.5
3762,2021-05-02 01:00:00,2937.5,2945.6,2926.6,2942.3,4320.2426,2942.3
3763,2021-05-02 02:00:00,2942.3,2955.7,2939.6,2951.8,13954.3728,2951.8
3764,2021-05-02 03:00:00,2951.8,2956.2,2900.9,2904.1,132680.3643,2904.1
3765,2021-05-02 04:00:00,2904.1,2929.5,2876.2,2929.1,166115.5083,2929.1
3766,2021-05-02 05:00:00,2929.1,2929.1,2905.5,2917.4,30555.0868,2917.4
3767,2021-05-02 06:00:00,2917.4,2926.1,2908.9,2913.5,12035.4177,2913.5
3768,2021-05-02 07:00:00,2913.5,2916.1,2875.6,2892.3,36307.4648,2892.3
3769,2021-05-02 08:00:00,2892.3,2897.7,2854.8,2877.9,89286.0038,2877.9
3770,2021-05-02 09:00:00,2877.9,2899.8,2868.8,2899.1,4735.6017,2899.1
3771,2021-05-02 10:00:00,2899.1,2926.9,2896.0,2926.9,31139.8168,2926.9
3772,2021-05-02 11:00:00,2926.9,2936.6,2907.2,2936.4,15013.6609,2936.4
3773,2021-05-02 12:00:00,2936.4,2940.4,2922.3,2926.0,1036871.6962,2926.0
3774,2021-05-02 13:00:00,2926.0,2930.2,2905.5,2914.9,2809.4133,2914.9
3775,2021-05-02 14:00:00,2914.9,2926.5,2914.1,2921.4,25040.309,2921.4
3776,2021-05-02 15:00:00,2921.4,2938.3,2913.1,2930.4,43377.5511,2930.4
3777,2021-05-02 16:00:00,2930.4,2943.6,2923.5,2927.0,9539.5074,2927.0
3778,2021-05-02 17:00:00,2927.0,2937.5,2920.0,2936.1,35858.4702,2936.1
3779,2021-05-02 18:00:00,2936.1,2971.0,2934.1,2969.4,112333.393,2969.4
3780,2021-05-02 19:00:00,2969.4,2978.4,2961.2,2964.2,92384.0008,2964.2
3781,2021-05-02 20:00:00,2964.2,2973.3,2957.1,2970.2,186330.2021,2970.2
3782,2021-05-02 21:00:00,2970.2,2984.6,2966.9,2974.7,554642.6452,2974.7
3783,2021-05-02 22:00:00,2974.7,2982.0,2932.2,2947.0,601614.7002,2947.0
3784,2021-05-02 23:00:00,2947.0,2956.3,2937.1,2952.3,45535.3528,2952.3
3785,2021-05-03 00:00:00,2952.3,2994.6,2952.3,2994.6,102500.1769,2994.6
3786,2021-05-03 01:00:00,2994.6,3029.0,2992.1,3022.2,1152062.8301,3022.2
3787,2021-05-03 02:00:00,3022.2,3036.5,3012.6,3033.5,209418.6245,3033.5
3788,2021-05-03 03:00:00,3033.5,3059.4,3024.0,3054.1,177093.3394,3054.1
3789,2021-05-03 04:00:00,3054.1,3060.2,3038.3,3054.1,24779.4274,3054.1
